BVP,TEMP,ACC_x,ACC_y,ACC_z
11.613798,35.826622,51.000000,26.000000,21.000000
19.086290,35.819141,50.000000,24.000000,25.000000
24.719223,35.816616,54.000000,25.000000,23.000000
23.449400,35.819206,53.000000,24.000000,23.000000
15.136801,35.826721,53.000000,24.000000,21.000000
3.895704,35.838604,55.000000,22.000000,21.000000
-6.172614,35.853848,54.000000,23.000000,21.000000
-11.607328,35.838600,56.000000,22.000000,22.000000
-11.854910,35.826725,53.000000,23.000000,24.000000
-11.047831,35.819229,53.000000,26.000000,22.000000
-13.313745,35.816658,55.000000,24.000000,24.000000
-17.787685,35.819195,54.000000,24.000000,21.000000
-22.162113,35.826679,54.000000,25.000000,22.000000
-27.091496,35.838562,56.000000,23.000000,20.000000
-33.716503,35.853848,55.000000,23.000000,18.000000
-41.030521,35.838699,58.000000,23.000000,18.000000
-47.734013,35.826939,57.000000,22.000000,19.000000
-52.917263,35.819546,54.000000,23.000000,18.000000
-52.231926,35.817047,53.000000,23.000000,18.000000
-41.763680,35.819595,56.000000,24.000000,20.000000
-24.475222,35.827015,53.000000,27.000000,22.000000
-6.705061,35.838764,56.000000,27.000000,21.000000
6.551410,35.853848,55.000000,25.000000,20.000000
15.716628,35.838463,55.000000,23.000000,20.000000
22.643795,35.826462,54.000000,25.000000,21.000000
29.206045,35.818874,53.000000,24.000000,23.000000
38.271042,35.816265,51.000000,25.000000,26.000000
50.123734,35.818821,50.000000,26.000000,27.000000
58.942104,35.826378,53.000000,25.000000,24.000000
58.252857,35.838394,53.000000,24.000000,23.000000
48.602150,35.853848,56.000000,22.000000,21.000000
35.913486,35.838882,56.000000,23.000000,18.000000
23.479769,35.827290,58.000000,19.000000,21.000000
9.251424,35.820023,54.000000,23.000000,22.000000
-9.109592,35.817589,50.000000,27.000000,27.000000
-29.034508,35.820122,51.000000,27.000000,26.000000
-41.272396,35.827438,49.000000,23.000000,26.000000
-36.040699,35.839005,53.000000,24.000000,24.000000
-13.812975,35.853848,50.000000,24.000000,25.000000
12.894659,35.838192,53.000000,24.000000,25.000000
31.772787,35.825928,54.000000,24.000000,22.000000
39.823410,35.818127,57.000000,23.000000,20.000000
38.323093,35.815395,54.000000,23.000000,20.000000
28.117161,35.817955,58.000000,21.000000,20.000000
14.125783,35.825665,53.000000,25.000000,19.000000
4.898813,35.837975,56.000000,23.000000,18.000000
2.561946,35.853848,55.000000,24.000000,17.000000
1.067452,35.839394,55.000000,26.000000,20.000000
-3.293785,35.828331,57.000000,25.000000,21.000000
-8.077581,35.821541,56.000000,23.000000,20.000000
-12.141464,35.819435,54.000000,26.000000,21.000000
-19.036224,35.822060,55.000000,24.000000,21.000000
-31.499271,35.829144,55.000000,24.000000,22.000000
-46.023308,35.840080,54.000000,24.000000,22.000000
-52.976467,35.853848,51.000000,24.000000,24.000000
-43.213696,35.836655,53.000000,24.000000,23.000000
-18.007814,35.822399,53.000000,23.000000,22.000000
10.102561,35.812206,54.000000,22.000000,22.000000
29.621517,35.806763,53.000000,22.000000,21.000000
38.529644,35.806412,56.000000,22.000000,21.000000
38.293957,35.811150,55.000000,23.000000,23.000000
29.573883,35.820583,56.000000,24.000000,25.000000
17.296133,35.833836,51.000000,26.000000,26.000000
8.881328,35.817158,49.000000,26.000000,25.000000
4.983790,35.804405,51.000000,26.000000,24.000000
0.947025,35.796558,53.000000,23.000000,22.000000
-4.234301,35.794094,59.000000,22.000000,22.000000
-8.138883,35.797077,57.000000,23.000000,20.000000
-11.145238,35.805218,56.000000,24.000000,20.000000
-17.210695,35.817844,56.000000,22.000000,20.000000
-29.791254,35.833836,55.000000,22.000000,20.000000
-46.250641,35.819263,53.000000,23.000000,22.000000
-55.054859,35.807888,53.000000,23.000000,23.000000
-44.083130,35.800663,56.000000,22.000000,22.000000
-14.601828,35.798134,57.000000,24.000000,22.000000
18.626781,35.800491,57.000000,24.000000,19.000000
42.382534,35.807621,56.000000,22.000000,17.000000
53.599949,35.819046,50.000000,26.000000,23.000000
53.692825,35.833836,52.000000,27.000000,25.000000
44.718319,35.818218,52.000000,24.000000,27.000000
32.928207,35.806076,52.000000,26.000000,29.000000
26.082687,35.798447,54.000000,25.000000,25.000000
24.961454,35.795879,53.000000,23.000000,23.000000
24.200489,35.798531,53.000000,24.000000,21.000000
20.498373,35.806206,54.000000,24.000000,20.000000
14.555888,35.818321,54.000000,22.000000,21.000000
7.243082,35.833836,51.000000,23.000000,22.000000
-2.083894,35.818871,58.000000,20.000000,23.000000
-14.875402,35.807224,51.000000,27.000000,25.000000
-31.128191,35.799873,52.000000,27.000000,25.000000
-44.860203,35.797352,52.000000,25.000000,24.000000
-45.133461,35.799831,53.000000,25.000000,23.000000
-27.382015,35.807159,52.000000,24.000000,23.000000
-0.840500,35.818813,54.000000,23.000000,22.000000
20.674128,35.833836,57.000000,22.000000,20.000000
31.681877,35.818413,56.000000,22.000000,19.000000
33.823723,35.806412,55.000000,23.000000,19.000000
