BVP,TEMP,ACC_x,ACC_y,ACC_z
-45.656300,31.961622,-56.000000,30.000000,13.000000
-40.354111,31.963453,-55.000000,29.000000,15.000000
-37.061874,31.969307,-56.000000,29.000000,15.000000
-40.034027,31.978828,-55.000000,29.000000,16.000000
-42.004597,31.991278,-56.000000,30.000000,15.000000
-37.438061,31.976612,-54.000000,31.000000,16.000000
-29.985537,31.965164,-55.000000,30.000000,15.000000
-22.674072,31.957928,-55.000000,32.000000,14.000000
-13.899910,31.955456,-52.000000,33.000000,16.000000
-5.492955,31.957928,-53.000000,32.000000,17.000000
-2.277448,31.965164,-53.000000,32.000000,15.000000
-4.649336,31.976612,-54.000000,31.000000,16.000000
-9.216917,31.991278,-55.000000,31.000000,17.000000
-11.525465,31.978849,-52.000000,31.000000,18.000000
-4.820080,31.969351,-56.000000,33.000000,15.000000
14.438335,31.963522,-56.000000,31.000000,15.000000
38.855915,31.961706,-51.000000,32.000000,16.000000
57.240467,31.963947,-53.000000,32.000000,18.000000
67.223442,31.970022,-58.000000,30.000000,15.000000
72.085747,31.979422,-55.000000,33.000000,14.000000
70.220337,31.991278,-53.000000,30.000000,19.000000
58.726166,31.975487,-58.000000,32.000000,14.000000
42.176113,31.962332,-51.000000,31.000000,16.000000
27.387291,31.952845,-55.000000,30.000000,17.000000
13.864826,31.947662,-55.000000,29.000000,14.000000
-2.539645,31.947104,-49.000000,30.000000,17.000000
-21.485992,31.951162,-56.000000,33.000000,15.000000
-39.402119,31.959482,-53.000000,29.000000,16.000000
-52.633045,31.971266,-56.000000,32.000000,15.000000
-57.047688,31.956390,-54.000000,30.000000,16.000000
-50.909477,31.945036,-54.000000,28.000000,17.000000
-37.000862,31.938061,-54.000000,31.000000,15.000000
-19.060579,31.935875,-54.000000,30.000000,14.000000
-0.470441,31.938540,-56.000000,31.000000,15.000000
14.198340,31.945789,-56.000000,31.000000,14.000000
22.199018,31.957029,-52.000000,30.000000,17.000000
26.152502,31.971266,-56.000000,33.000000,15.000000
30.180695,31.958242,-54.000000,31.000000,16.000000
33.678909,31.948072,-54.000000,30.000000,16.000000
32.250450,31.941614,-54.000000,31.000000,15.000000
24.910601,31.939354,-54.000000,30.000000,17.000000
18.387383,31.941463,-53.000000,32.000000,17.000000
21.569633,31.947840,-55.000000,32.000000,15.000000
35.267097,31.958050,-54.000000,30.000000,15.000000
50.149311,31.971266,-55.000000,31.000000,15.000000
56.953266,31.957365,-52.000000,31.000000,18.000000
55.715424,31.946562,-52.000000,29.000000,18.000000
51.932819,31.939770,-51.000000,32.000000,17.000000
47.007107,31.937483,-53.000000,29.000000,17.000000
37.838810,31.939842,-57.000000,32.000000,14.000000
23.777538,31.946672,-55.000000,32.000000,13.000000
7.821815,31.957455,-54.000000,30.000000,16.000000
-8.019036,31.971266,-57.000000,30.000000,14.000000
-24.670887,31.957895,-54.000000,30.000000,15.000000
-44.377483,31.947489,-62.000000,30.000000,11.000000
-67.126854,31.940918,-52.000000,28.000000,15.000000
